gene_ID,pmid,host_db,has_summary,has_PD
Tb927.10.4310,19683530,TriTrypDB,,
Tb927.10.4440,33660774,TriTrypDB,,
Tb927.10.450,20923419,TriTrypDB,,
Tb927.10.450,17227795,TriTrypDB,,
Tb927.10.4500,16431985,TriTrypDB,,
Tb927.10.460,16608878,TriTrypDB,,
Tb927.10.4600,34407985,TriTrypDB,,
Tb927.10.4610,10329621,TriTrypDB,,
Tb927.10.4700,20382188,TriTrypDB,,
Tb927.10.4760,35500022,TriTrypDB,,
Tb927.10.4800,32084124,TriTrypDB,,
Tb927.10.4840,16055738,TriTrypDB,,
Tb927.10.4910,19463859,TriTrypDB,,
Tb927.10.4940,12123446,TriTrypDB,,
Tb927.10.5010,24033548,TriTrypDB,,
Tb927.10.5020,24962368,TriTrypDB,,
Tb927.10.5050,19436713,TriTrypDB,,
Tb927.10.5080,12958211,TriTrypDB,,
Tb927.10.5090,25931509,TriTrypDB,,
Tb927.10.510,23221899,TriTrypDB,,
Tb927.10.5140,24213350,TriTrypDB,,
Tb927.10.5140,29287675,TriTrypDB,,
Tb927.10.520,36220811,TriTrypDB,,
Tb927.10.5210,17259543,TriTrypDB,,
Tb927.10.5230,30097558,TriTrypDB,,
Tb927.10.5270,21396364,TriTrypDB,,
Tb927.10.5290,27181928,TriTrypDB,,
Tb927.10.530,25931509,TriTrypDB,,
Tb927.10.5310,27732844,TriTrypDB,,
Tb927.10.5380,18094047,TriTrypDB,,
Tb927.10.5440,16269544,TriTrypDB,,
Tb927.10.5450,26378228,TriTrypDB,,
Tb927.10.5450,21076155,TriTrypDB,,
Tb927.10.5500,22158713,TriTrypDB,,
Tb927.10.5560,20382188,TriTrypDB,,
Tb927.10.5560,10954751,TriTrypDB,,
Tb927.10.5620,32329788,TriTrypDB,,
Tb927.10.5640,19605687,TriTrypDB,,
Tb927.10.5700,25931509,TriTrypDB,,
Tb927.10.5770,10029305,TriTrypDB,,
Tb927.10.5770,11279035,TriTrypDB,,
Tb927.10.5870,30171070,TriTrypDB,,
Tb927.10.5880,35447115,TriTrypDB,,
Tb927.10.5910,28049148,TriTrypDB,,
Tb927.10.5930,24453978,TriTrypDB,,
Tb927.10.5940,24453978,TriTrypDB,,
Tb927.10.5950,24453978,TriTrypDB,,
Tb927.10.5960,20685283,TriTrypDB,,
Tb927.10.5990,28049148,TriTrypDB,,
Tb927.10.600,18364347,TriTrypDB,,
Tb927.10.6010,18554326,TriTrypDB,,
Tb927.10.6060,18048338,TriTrypDB,,
Tb927.10.6070,18048338,TriTrypDB,,
Tb927.10.6090,18364347,TriTrypDB,,
Tb927.10.6140,20382188,TriTrypDB,,
Tb927.10.6180,23178943,TriTrypDB,,
Tb927.10.6220,17077271,TriTrypDB,,
Tb927.10.6240,16112905,TriTrypDB,,
Tb927.10.6300,18364347,TriTrypDB,,
Tb927.10.6330,24582333,TriTrypDB,,
Tb927.10.6350,9236195,TriTrypDB,,
Tb927.10.6360,30171070,TriTrypDB,,
Tb927.10.640,17601874,TriTrypDB,,
Tb927.10.6410,32373549,TriTrypDB,,
Tb927.10.6440,22676716,TriTrypDB,,
Tb927.10.650,17227795,TriTrypDB,,
Tb927.10.6530,18263655,TriTrypDB,,
Tb927.10.6600,31795916,TriTrypDB,,
Tb927.10.6690,17043136,TriTrypDB,,
Tb927.10.6700,28034897,TriTrypDB,,
Tb927.10.6790,26224545,TriTrypDB,,
