pmid,gene_ID,host_db
23320541,PY17X_1422300,PlasmoDB
23336032,PCHAS_0611500,PlasmoDB
23336032,PCHAS_0611900,PlasmoDB
23336032,PCHAS_0727400,PlasmoDB
23336032,PCHAS_1242200,PlasmoDB
23336032,PF3D7_0416300,PlasmoDB
23336032,PF3D7_0527000,PlasmoDB
23336032,PF3D7_1211300,PlasmoDB
23336032,PF3D7_1211700,PlasmoDB
23336032,PBANKA_0609800,PlasmoDB
23336032,PBANKA_0610200,PlasmoDB
23336032,PBANKA_0718300,PlasmoDB
23336032,PBANKA_1241800,PlasmoDB
23336032,PKNH_0508700,PlasmoDB
23336032,PKNH_1005700,PlasmoDB
23336032,PKNH_1311400,PlasmoDB
23336032,PKNH_1311800,PlasmoDB
23336032,PGAL8A_00074300,PlasmoDB
23336032,PGAL8A_00089800,PlasmoDB
23336032,PocGH01_13021700,PlasmoDB
23336032,PRCDC_0413800,PlasmoDB
23336032,PRCDC_0526100,PlasmoDB
23336032,PRCDC_1210600,PlasmoDB
23336032,PRCDC_1211000,PlasmoDB
23336032,PmUG01_13021700,PlasmoDB
23336032,PRELSG_0511600,PlasmoDB
23336032,PRELSG_1004800,PlasmoDB
23336032,PRELSG_1312400,PlasmoDB
23336032,PVP01_0525700,PlasmoDB
23336032,PVP01_1006800,PlasmoDB
23336032,PVP01_1310500,PlasmoDB
23336032,PVP01_1310900,PlasmoDB
23336032,PY17X_0612300,PlasmoDB
23336032,PY17X_0612700,PlasmoDB
23336032,PY17X_0718500,PlasmoDB
23336032,PY17X_1245000,PlasmoDB
23339486,AN0494,FungiDB
23339486,AN2828,FungiDB
23339486,AN3418,FungiDB
23339486,AN7230,FungiDB
23356236,TGME49_200010,ToxoDB
23356236,TGME49_241610,ToxoDB
23356236,TGME49_245432,ToxoDB
23356439,PY17X_0719200,PlasmoDB
23360537,Afu3g12890,FungiDB
23360537,Afu3g12920,FungiDB
23360537,Afu3g12930,FungiDB
23360537,Afu3g12940,FungiDB
23368997,Afu7g00170,FungiDB
23368997,Afu7g00130,FungiDB
23421981,PY17X_0816300,PlasmoDB
23434509,PCHAS_1337000,PlasmoDB
23434509,PF3D7_1469200,PlasmoDB
23434509,PBANKA_1332400,PlasmoDB
23434509,PKNH_1211800,PlasmoDB
23434509,PGAL8A_00228600,PlasmoDB
23434509,PocGH01_12045600,PlasmoDB
23434509,PRCDC_1468400,PlasmoDB
23434509,PmUG01_12047700,PlasmoDB
23434509,PRELSG_1211600,PlasmoDB
23434509,PVP01_1237600,PlasmoDB
23434509,PY17X_1337100,PlasmoDB
23437009,PF3D7_1360100,PlasmoDB
23443656,TGME49_290040,ToxoDB
23468629,PCHAS_0103000,PlasmoDB
23468629,PBANKA_0102300,PlasmoDB
23468629,PKNH_1147200,PlasmoDB
