"gene_ID","pmid","has_summary","has_PD","host_db"
"AN3495",23617571,TRUE,NA,"FungiDB"
"AN3496",23617571,TRUE,NA,"FungiDB"
"CNA06560",23653445,TRUE,NA,"FungiDB"
"CNAG_02057",23653445,TRUE,NA,"FungiDB"
"TGME49_267380",23658519,TRUE,NA,"ToxoDB"
"PBANKA_0700600",23658610,TRUE,NA,"PlasmoDB"
"TGME49_301420",23687115,TRUE,NA,"ToxoDB"
"PVP01_0531900",23688042,TRUE,NA,"PlasmoDB"
"CNAG_06290",23691177,TRUE,NA,"FungiDB"
"PVP01_0412300",23734702,TRUE,NA,"PlasmoDB"
"PKNH_0408600",23734702,TRUE,NA,"PlasmoDB"
"TGME49_296000",23742205,TRUE,NA,"ToxoDB"
"TGME49_281675",23742205,TRUE,NA,"ToxoDB"
"AN3621",23762321,TRUE,NA,"FungiDB"
"PBANKA_0830400",23773015,TRUE,NA,"PlasmoDB"
"PF3D7_0312100",23785288,TRUE,NA,"PlasmoDB"
"PKNH_1466100",23831369,TRUE,NA,"PlasmoDB"
"PF3D7_0320000",23837822,TRUE,NA,"PlasmoDB"
"Afu1g06210",23844980,TRUE,NA,"FungiDB"
"PBANKA_1459200",23935500,TRUE,NA,"PlasmoDB"
"NCU01833",23935534,TRUE,NA,"FungiDB"
"TGME49_315730",23940612,TRUE,NA,"ToxoDB"
"Afu3g07910",23990787,TRUE,NA,"FungiDB"
"FGRAMPH1_01G25093",23990790,TRUE,NA,"FungiDB"
"Afu4g02970",23996062,TRUE,NA,"FungiDB"
"AN0756",24037406,TRUE,NA,"FungiDB"
"AN0980",24037406,TRUE,NA,"FungiDB"
"TGME49_230180",24043761,TRUE,NA,"ToxoDB"
"PVP01_0916600",24093777,TRUE,NA,"PlasmoDB"
"PKNH_0913700",24093777,TRUE,NA,"PlasmoDB"
"Afu8g00420",24116213,TRUE,NA,"FungiDB"
"AN8677",24118544,TRUE,NA,"FungiDB"
"TGME49_290950",24147036,TRUE,NA,"ToxoDB"
"PBANKA_0416500",24237419,TRUE,NA,"PlasmoDB"
"PBANKA_0314200",24265753,TRUE,NA,"PlasmoDB"
"PVP01_0102300",24340114,TRUE,NA,"PlasmoDB"
"PBANKA_1107100",24348254,TRUE,NA,"PlasmoDB"
"PF3D7_1343700",24352242,TRUE,NA,"PlasmoDB"
"PY17X_0834400",24403012,TRUE,NA,"PlasmoDB"
"PF3D7_1426700",24453970,TRUE,NA,"PlasmoDB"
"PF3D7_1235000",24505500,TRUE,NA,"PlasmoDB"
"PBANKA_1449600",24505500,TRUE,NA,"PlasmoDB"
"PCHAS_1439500",24572359,TRUE,NA,"PlasmoDB"
"PBANKA_1437500",24572359,TRUE,NA,"PlasmoDB"
"NCU05064",24581151,TRUE,NA,"FungiDB"
"AN5126",24637327,TRUE,NA,"FungiDB"
"TGME49_260600",24685055,TRUE,NA,"ToxoDB"
"FGRAMPH1_01G00855",24722578,TRUE,NA,"FungiDB"
"TGME49_244470",24743791,TRUE,NA,"ToxoDB"
"PF3D7_1327600",24747974,TRUE,NA,"PlasmoDB"
"AN8737",24751997,TRUE,NA,"FungiDB"
"Afu1g06200",24779420,TRUE,NA,"FungiDB"
"PF3D7_0704600",24830312,TRUE,NA,"PlasmoDB"
"PF3D7_1329700",24877144,TRUE,NA,"PlasmoDB"
"TGME49_201180",24885521,TRUE,NA,"ToxoDB"
"Afu8g00440",24939566,TRUE,NA,"FungiDB"
"PRELSG_1467600",24943514,TRUE,NA,"PlasmoDB"
"PRELSG_0100100",24943514,TRUE,NA,"PlasmoDB"
"PF3D7_0936800",24983468,TRUE,NA,"PlasmoDB"
"PY17X_0304500",25012929,TRUE,NA,"PlasmoDB"
"PF3D7_1033400",25058848,TRUE,NA,"PlasmoDB"
"NCU02833",25279949,TRUE,NA,"FungiDB"
"NCU10518",25279949,TRUE,NA,"FungiDB"
"TGME49_244040",25329540,TRUE,NA,"ToxoDB"
"TGME49_500179",25329540,TRUE,NA,"ToxoDB"
"Afu4g03460",25375670,TRUE,NA,"FungiDB"
"TGME49_283510",25393004,TRUE,NA,"ToxoDB"
"TGME49_246940",25393004,TRUE,NA,"ToxoDB"
"FGRAMPH1_01G00223",25403493,TRUE,NA,"FungiDB"
"NCU08008",25411845,TRUE,NA,"FungiDB"
"NCU06265",25411845,TRUE,NA,"FungiDB"
"MGG_06881",25514925,TRUE,NA,"FungiDB"
"PF3D7_0936500",25703704,TRUE,NA,"PlasmoDB"
"AN1060",25712266,TRUE,NA,"FungiDB"
"PKNH_1258400",25761669,TRUE,NA,"PlasmoDB"
"PVP01_1211800",25761669,TRUE,NA,"PlasmoDB"
"TGME49_316890",25765081,TRUE,NA,"ToxoDB"
"CNAG_04247",25827419,TRUE,NA,"FungiDB"
"CNAG_07884",25827419,TRUE,NA,"FungiDB"
"CNAG_03488",25859664,TRUE,NA,"FungiDB"
"CNAG_05601",25859664,TRUE,NA,"FungiDB"
"PVP01_0517600",25888962,TRUE,NA,"PlasmoDB"
"PVP01_0317900",25925592,TRUE,NA,"PlasmoDB"
"TGME49_222170",25974303,TRUE,NA,"ToxoDB"
"PBANKA_1429600",25995223,TRUE,NA,"PlasmoDB"
"PVP01_0422600",26011536,TRUE,NA,"PlasmoDB"
"CNAG_02161",26037119,TRUE,NA,"FungiDB"
"CNAG_02676",26112692,TRUE,NA,"FungiDB"
"PF3D7_0805700",26112892,TRUE,NA,"PlasmoDB"
"PBANKA_1227400",26118994,TRUE,NA,"PlasmoDB"
"PF3D7_0936600",26315106,TRUE,NA,"PlasmoDB"
"PRCDC_0934700",26315106,TRUE,NA,"PlasmoDB"
"PF3D7_1229100",26332724,TRUE,NA,"PlasmoDB"
"AN3522",26353949,TRUE,NA,"FungiDB"
"AN1006",26353949,TRUE,NA,"FungiDB"
